players_used,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,url
,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,
21,6.0,107,57,47,40,20,40,96,41.7,56,75,17,58,75,182,110,7,/en/squads/19c3f8c4/2020-2021/Ajax-Stats
25,8.0,139,76,64,56,19,54,151,35.8,97,98,29,69,140,279,144,3,/en/squads/922493f3/2020-2021/Atalanta-Stats
20,8.0,123,73,53,51,19,70,149,47.0,79,88,26,62,94,217,168,1,/en/squads/db3b9613/2020-2021/Atletico-Madrid-Stats
27,8.0,109,60,38,46,25,48,131,36.6,83,72,16,56,88,197,64,3,/en/squads/206d90db/2020-2021/Barcelona-Stats
26,10.0,157,77,68,64,25,62,161,38.5,99,112,21,91,126,283,147,3,/en/squads/054efa67/2020-2021/Bayern-Munich-Stats
21,6.0,72,34,36,29,7,40,114,35.1,74,91,32,59,78,150,103,2,/en/squads/bff39cf5/2020-2021/Istanbul-Basaksehir-Stats
24,13.0,199,127,94,80,25,97,212,45.8,115,154,42,112,146,345,262,2,/en/squads/cff3d9bb/2020-2021/Chelsea-Stats
22,6.0,81,51,38,33,10,35,75,46.7,40,58,19,39,76,157,85,2,/en/squads/f1e6c5f1/2020-2021/Club-Brugge-Stats
26,10.0,155,89,77,57,21,59,152,38.8,93,116,34,82,106,261,180,2,/en/squads/add600ae/2020-2021/Dortmund-Stats
22,6.0,87,48,44,35,8,37,112,33.0,75,73,16,57,102,189,139,3,/en/squads/c734e22f/2020-2021/Dynamo-Kyiv-Stats
20,6.0,83,47,50,21,12,34,90,37.8,56,61,19,42,96,179,73,5,/en/squads/6611f992/2020-2021/Ferencvaros-Stats
21,8.0,142,73,81,47,14,69,164,42.1,95,119,34,85,90,232,144,2,/en/squads/32f3ee20/2020-2021/Monchengladbach-Stats
21,6.0,82,48,26,41,15,25,93,26.9,68,56,12,44,78,160,60,2,/en/squads/d609edc0/2020-2021/Internazionale-Stats
22,8.3,135,86,62,57,16,61,148,41.2,87,70,18,52,122,257,102,4,/en/squads/e0652b02/2020-2021/Juventus-Stats
23,6.0,72,36,32,28,12,32,97,33.0,65,74,27,47,82,154,132,3,/en/squads/fa11a9cc/2020-2021/Krasnodar-Stats
25,8.0,132,66,73,49,10,64,159,40.3,95,81,20,61,109,241,161,6,/en/squads/7213da33/2020-2021/Lazio-Stats
29,10.0,135,84,68,54,13,55,141,39.0,86,110,20,90,117,252,171,7,/en/squads/822bd0ba/2020-2021/Liverpool-Stats
22,6.0,89,47,65,15,9,50,124,40.3,74,73,30,43,100,189,202,2,/en/squads/5a8dc328/2020-2021/Lokomotiv-Moscow-Stats
25,13.0,188,99,48,91,49,73,179,40.8,106,121,26,95,117,305,139,8,/en/squads/b8fd03ef/2020-2021/Manchester-City-Stats
23,6.0,91,49,31,47,13,46,95,48.4,49,66,12,54,60,151,94,1,/en/squads/19538871/2020-2021/Manchester-United-Stats
20,6.0,86,60,48,29,9,37,90,41.1,53,52,10,42,89,175,65,3,/en/squads/5725cc7b/2020-2021/Marseille-Stats
22,6.0,94,61,48,35,11,33,91,36.3,58,69,12,57,110,204,102,3,/en/squads/3c4fb635/2020-2021/Midtjylland-Stats
21,6.0,88,40,36,46,6,32,91,35.2,59,45,15,30,83,171,103,3,/en/squads/2fdb4aef/2020-2021/Olympiacos-Stats
23,12.0,202,112,102,82,18,81,222,36.5,141,144,47,97,140,342,249,4,/en/squads/e2d8892c/2020-2021/Paris-Saint-Germain-Stats
26,10.3,165,96,98,53,14,76,183,41.5,107,116,36,80,91,256,250,2,/en/squads/5e876ee6/2020-2021/Porto-Stats
20,8.0,165,99,71,78,16,77,173,44.5,96,91,15,76,108,273,112,7,/en/squads/acbb6a5b/2020-2021/RB-Leipzig-Stats
19,6.0,117,62,52,53,12,50,134,37.3,84,86,17,69,97,214,121,1,/en/squads/50f2a074/2020-2021/Red-Bull-Salzburg-Stats
25,12.0,198,104,97,70,31,96,218,44.0,122,119,23,96,151,349,138,2,/en/squads/53a2f082/2020-2021/Real-Madrid-Stats
26,6.0,74,46,35,28,11,32,89,36.0,57,49,13,36,65,139,91,1,/en/squads/b3072e00/2020-2021/Rennes-Stats
25,8.0,106,61,38,47,21,46,123,37.4,77,78,23,55,79,185,94,2,/en/squads/ad2be733/2020-2021/Sevilla-Stats
23,6.0,63,39,41,15,7,40,105,38.1,65,72,17,55,81,144,148,3,/en/squads/e89d5a28/2020-2021/Shakhtar-Donetsk-Stats
21,6.0,95,57,56,28,11,45,128,35.2,83,67,18,49,93,188,101,1,/en/squads/98ce363d/2020-2021/Zenit-Stats
