players_used,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,url
,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,
19,6,15,1,1,78,47,18,63,53,60,1,2,0,293,55,84,39.6,/en/squads/19c3f8c4/2022-2023/Ajax-Stats
22,6,13,0,0,56,61,20,151,42,48,1,1,0,309,75,81,48.1,/en/squads/db3b9613/2022-2023/Atletico-Madrid-Stats
26,6,10,0,0,57,70,8,154,51,58,0,1,0,314,69,70,49.6,/en/squads/206d90db/2022-2023/Barcelona-Stats
24,10,20,1,1,121,94,26,127,120,118,0,1,0,574,105,113,48.2,/en/squads/054efa67/2022-2023/Bayern-Munich-Stats
24,10,19,0,0,103,89,16,152,123,105,4,3,0,537,115,143,44.6,/en/squads/a77c513e/2022-2023/Benfica-Stats
22,6,7,0,0,50,37,4,121,65,45,1,2,0,291,42,43,49.4,/en/squads/b81aa4fa/2022-2023/Celtic-Stats
26,10,25,1,0,137,121,27,194,93,104,1,0,0,597,116,109,51.6,/en/squads/cff3d9bb/2022-2023/Chelsea-Stats
25,8,27,1,1,73,67,14,105,72,64,2,3,0,389,114,96,54.3,/en/squads/f1e6c5f1/2022-2023/Club-Brugge-Stats
20,6,13,0,0,61,74,2,73,66,54,0,3,1,306,87,72,54.7,/en/squads/edd0d381/2022-2023/Dinamo-Zagreb-Stats
26,8,17,0,0,73,80,8,92,89,67,0,2,0,427,68,86,44.2,/en/squads/add600ae/2022-2023/Dortmund-Stats
22,8,18,2,1,109,88,17,107,85,88,0,4,0,501,74,89,45.4,/en/squads/f0ac8ee6/2022-2023/Eintracht-Frankfurt-Stats
25,6,12,1,0,71,43,7,61,83,46,0,2,1,276,72,76,48.6,/en/squads/18050b20/2022-2023/FC-Copenhagen-Stats
22,13,27,0,0,167,148,28,249,123,138,0,0,1,625,194,182,51.6,/en/squads/d609edc0/2022-2023/Internazionale-Stats
26,6,14,0,0,68,67,17,142,51,48,0,2,0,312,60,71,45.8,/en/squads/e0652b02/2022-2023/Juventus-Stats
20,6,19,1,1,80,49,13,90,43,66,1,3,0,357,75,72,51.0,/en/squads/c7a9f859/2022-2023/Bayer-Leverkusen-Stats
25,8,10,0,0,93,60,14,184,60,81,1,2,0,464,108,71,60.3,/en/squads/822bd0ba/2022-2023/Liverpool-Stats
20,6,14,0,0,77,46,16,84,53,73,0,0,1,345,68,46,59.6,/en/squads/187832f5/2022-2023/Maccabi-Haifa-Stats
23,13,21,1,0,125,121,15,240,84,112,2,1,0,638,133,96,58.1,/en/squads/b8fd03ef/2022-2023/Manchester-City-Stats
19,6,11,1,0,66,82,26,116,68,58,1,0,0,353,56,61,47.9,/en/squads/5725cc7b/2022-2023/Marseille-Stats
23,12,28,1,0,169,148,19,169,103,123,3,2,0,624,158,161,49.5,/en/squads/dc56fe14/2022-2023/Milan-Stats
22,10,20,1,1,109,134,19,168,88,104,4,2,0,568,141,129,52.2,/en/squads/d48ad4ff/2022-2023/Napoli-Stats
21,8,14,0,0,64,114,17,95,62,77,1,1,1,403,61,62,49.6,/en/squads/e2d8892c/2022-2023/Paris-Saint-Germain-Stats
24,8,23,3,3,90,103,14,113,77,88,2,4,1,427,126,135,48.3,/en/squads/5e876ee6/2022-2023/Porto-Stats
22,8,8,0,0,68,76,20,114,68,79,0,2,0,388,59,61,49.2,/en/squads/acbb6a5b/2022-2023/RB-Leipzig-Stats
19,6,11,0,0,77,51,8,88,51,85,1,0,0,389,75,91,45.2,/en/squads/50f2a074/2022-2023/Red-Bull-Salzburg-Stats
22,6,10,1,1,50,55,15,84,58,45,1,3,0,287,60,80,42.9,/en/squads/86b7acd2/2022-2023/Rangers-Stats
22,12,14,0,0,100,127,14,169,111,98,1,1,0,541,78,71,52.3,/en/squads/53a2f082/2022-2023/Real-Madrid-Stats
24,6,12,0,0,57,74,8,91,49,49,0,0,0,255,73,65,52.9,/en/squads/ad2be733/2022-2023/Sevilla-Stats
20,6,16,0,0,65,47,9,45,65,52,0,0,2,265,38,56,40.4,/en/squads/e89d5a28/2022-2023/Shakhtar-Donetsk-Stats
25,6,17,3,2,69,72,4,61,50,75,0,2,0,273,47,66,41.6,/en/squads/13dc44fd/2022-2023/Sporting-CP-Stats
25,8,22,1,1,101,86,20,166,71,88,2,0,0,432,117,90,56.5,/en/squads/361ca564/2022-2023/Tottenham-Hotspur-Stats
22,6,12,1,0,59,52,7,94,67,41,1,0,0,280,83,76,52.2,/en/squads/02cd81bf/2022-2023/Viktoria-Plzen-Stats
