players_used,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,url
,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,
1,1,1,90,1,2,2,4,2,50.0,0,0,1,0,0,0,0,0,0,,/en/squads/19c3f8c4/Ajax-Stats
1,1,1,90,1,0,0,2,2,100.0,1,0,0,1,100,0,0,0,0,,/en/squads/18bb7c10/Arsenal-Stats
1,1,1,90,1,4,4,13,8,69.2,0,0,1,0,0,1,0,1,0,100,/en/squads/922493f3/Atalanta-Stats
1,1,1,90,1,2,2,6,4,66.7,0,0,1,0,0,0,0,0,0,,/en/squads/2b390eca/Athletic-Club-Stats
1,1,1,90,1,3,3,6,3,50.0,0,0,1,0,0,0,0,0,0,,/en/squads/db3b9613/Atletico-Madrid-Stats
1,1,1,90,1,1,1,6,5,83.3,1,0,0,0,0,0,0,0,0,,/en/squads/206d90db/Barcelona-Stats
1,1,1,90,1,1,1,3,2,66.7,1,0,0,0,0,0,0,0,0,,/en/squads/054efa67/Bayern-Munich-Stats
1,1,1,90,1,3,3,5,2,40.0,0,0,1,0,0,0,0,0,0,,/en/squads/a77c513e/Benfica-Stats
1,1,1,90,1,2,2,10,8,80.0,0,1,0,0,0,0,0,0,0,,/en/squads/d86248bd/2025-2026/BodoGlimt-Stats
1,1,1,90,1,3,3,5,3,60.0,0,0,1,0,0,1,1,0,0,0,/en/squads/cff3d9bb/Chelsea-Stats
2,1,1,90,1,1,1,5,3,80.0,1,0,0,0,0,1,0,1,0,100,/en/squads/f1e6c5f1/Club-Brugge-Stats
1,1,1,90,1,4,4,7,3,42.9,0,1,0,0,0,0,0,0,0,,/en/squads/add600ae/Dortmund-Stats
1,1,1,90,1,1,1,5,4,80.0,1,0,0,0,0,0,0,0,0,,/en/squads/f0ac8ee6/Eintracht-Frankfurt-Stats
1,1,1,90,1,2,2,4,3,50.0,0,1,0,0,0,0,0,0,0,,/en/squads/18050b20/FC-Copenhagen-Stats
1,1,1,90,1,5,5,5,2,0.0,0,0,1,0,0,0,0,0,0,,/en/squads/ecd11ca2/Galatasaray-Stats
1,1,1,90,1,0,0,2,2,100.0,1,0,0,1,100,0,0,0,0,,/en/squads/d609edc0/Internazionale-Stats
1,1,1,90,1,4,4,5,1,40.0,0,1,0,0,0,1,1,0,0,0,/en/squads/e0652b02/Juventus-Stats
1,1,1,90,1,2,2,7,5,71.4,0,1,0,0,0,0,0,0,0,,/en/squads/c7a9f859/Bayer-Leverkusen-Stats
1,1,1,90,1,2,2,4,2,50.0,1,0,0,0,0,0,0,0,0,,/en/squads/822bd0ba/Liverpool-Stats
1,1,1,90,1,0,0,1,1,100.0,1,0,0,1,100,0,0,0,0,,/en/squads/b8fd03ef/Manchester-City-Stats
1,1,1,90,1,2,2,15,13,100.0,0,0,1,0,0,2,2,0,0,0,/en/squads/5725cc7b/Marseille-Stats
1,1,1,90,1,4,4,10,6,60.0,0,0,1,0,0,0,0,0,0,,/en/squads/fd6114db/Monaco-Stats
1,1,1,90,1,2,2,8,6,75.0,0,0,1,0,0,0,0,0,0,,/en/squads/d48ad4ff/Napoli-Stats
1,1,1,90,1,2,2,5,3,60.0,0,0,1,0,0,0,0,0,0,,/en/squads/b2b47a98/Newcastle-United-Stats
1,1,1,90,1,0,0,1,1,100.0,0,1,0,1,100,0,0,0,0,,/en/squads/2fdb4aef/Olympiacos-Stats
1,1,1,90,1,3,3,7,4,71.4,0,0,1,0,0,1,1,0,0,0,/en/squads/e334d850/PSV-Eindhoven-Stats
1,1,1,90,1,0,0,3,3,100.0,0,1,0,1,100,0,0,0,0,,/en/squads/cb42669e/Pafos-FC-Stats
1,1,1,90,1,0,0,2,2,100.0,1,0,0,1,100,0,0,0,0,,/en/squads/e2d8892c/Paris-Saint-Germain-Stats
1,1,1,90,1,2,2,3,1,33.3,1,0,0,0,0,0,0,0,0,,/en/squads/44b65410/Qarabag-Stats
1,1,1,90,1,4,4,8,3,50.0,0,0,1,0,0,1,0,1,0,100,/en/squads/768fb565/Qairat-Almaty-Stats
1,1,1,90,1,1,1,5,4,80.0,1,0,0,0,0,0,0,0,0,,/en/squads/53a2f082/Real-Madrid-Stats
1,1,1,90,1,2,2,9,6,77.8,0,1,0,0,0,1,0,1,0,100,/en/squads/111cbfb1/Slavia-Prague-Stats
1,1,1,90,1,1,1,4,3,75.0,1,0,0,0,0,0,0,0,0,,/en/squads/13dc44fd/Sporting-CP-Stats
1,1,1,90,1,0,0,0,0,,1,0,0,1,100,0,0,0,0,,/en/squads/361ca564/Tottenham-Hotspur-Stats
1,1,1,90,1,1,1,3,2,66.7,1,0,0,0,0,0,0,0,0,,/en/squads/e14f61a5/Union-SG-Stats
1,1,1,90,1,1,1,1,1,0.0,0,0,1,0,0,0,0,0,0,,/en/squads/2a8183b3/Villarreal-Stats
