players_used,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,url
,,,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,
16,1,565,518,45,18,1,5,23,16,3,2,0,0,478,2,10,/en/squads/19c3f8c4/Ajax-Stats
15,1,532,489,41,18,1,4,17,16,2,1,0,0,435,2,11,/en/squads/18bb7c10/Arsenal-Stats
16,1,370,334,34,8,0,1,8,13,1,1,0,0,300,2,13,/en/squads/922493f3/Atalanta-Stats
16,1,338,294,44,17,2,0,13,18,2,0,2,0,246,0,12,/en/squads/2b390eca/Athletic-Club-Stats
15,1,503,462,39,8,2,2,25,10,6,2,4,0,408,2,10,/en/squads/db3b9613/Atletico-Madrid-Stats
16,1,578,535,43,14,0,0,9,20,4,2,0,0,490,0,12,/en/squads/206d90db/Barcelona-Stats
16,1,592,549,39,9,3,2,12,17,6,4,0,0,522,4,10,/en/squads/054efa67/Bayern-Munich-Stats
15,1,517,474,42,6,4,6,16,19,8,5,2,0,431,1,4,/en/squads/a77c513e/Benfica-Stats
16,1,429,385,44,16,1,0,12,15,4,2,2,0,330,0,8,/en/squads/d86248bd/2025-2026/BodoGlimt-Stats
14,1,469,422,44,16,4,2,14,12,2,1,0,0,406,3,6,/en/squads/cff3d9bb/Chelsea-Stats
16,1,488,456,32,10,2,3,13,11,4,2,1,0,405,0,1,/en/squads/f1e6c5f1/Club-Brugge-Stats
14,1,501,450,51,15,0,0,6,21,2,2,0,0,410,0,15,/en/squads/add600ae/Dortmund-Stats
16,1,375,329,45,13,0,2,14,20,4,2,0,0,278,1,12,/en/squads/f0ac8ee6/Eintracht-Frankfurt-Stats
15,1,398,357,41,12,0,6,16,15,4,3,0,0,307,0,4,/en/squads/18050b20/FC-Copenhagen-Stats
16,1,591,553,38,11,1,4,15,15,3,1,2,0,500,0,6,/en/squads/ecd11ca2/Galatasaray-Stats
16,1,449,394,54,17,1,2,11,26,5,1,4,0,363,1,9,/en/squads/d609edc0/Internazionale-Stats
16,1,532,492,36,8,1,1,20,17,4,1,3,0,459,4,4,/en/squads/e0652b02/Juventus-Stats
16,1,684,641,43,11,1,10,19,16,5,3,2,0,597,0,8,/en/squads/c7a9f859/Bayer-Leverkusen-Stats
16,1,643,600,42,10,2,0,22,19,7,3,4,0,561,1,10,/en/squads/822bd0ba/Liverpool-Stats
16,1,847,818,28,4,9,4,24,14,9,3,5,0,768,1,8,/en/squads/b8fd03ef/Manchester-City-Stats
16,1,559,524,32,9,0,2,11,11,4,3,1,0,478,3,5,/en/squads/5725cc7b/Marseille-Stats
16,1,516,472,43,10,3,3,12,14,5,1,1,0,439,1,8,/en/squads/fd6114db/Monaco-Stats
16,1,306,275,30,4,1,2,6,10,2,2,0,0,237,1,9,/en/squads/d48ad4ff/Napoli-Stats
16,1,334,280,51,12,0,3,22,19,6,3,0,1,233,3,15,/en/squads/b2b47a98/Newcastle-United-Stats
16,1,613,547,64,14,3,3,45,32,9,3,6,0,484,2,8,/en/squads/2fdb4aef/Olympiacos-Stats
16,1,588,525,63,17,7,4,26,28,7,2,5,0,470,0,25,/en/squads/e334d850/PSV-Eindhoven-Stats
16,1,268,224,43,15,0,3,1,12,0,0,0,0,184,1,6,/en/squads/cb42669e/Pafos-FC-Stats
16,1,738,697,38,12,6,3,8,16,6,1,0,0,671,3,11,/en/squads/e2d8892c/Paris-Saint-Germain-Stats
15,1,462,412,49,12,1,3,8,18,3,2,0,0,372,1,14,/en/squads/44b65410/Qarabag-Stats
16,1,339,297,41,13,1,0,9,6,3,3,0,0,251,1,4,/en/squads/768fb565/Qairat-Almaty-Stats
15,1,431,382,48,15,4,8,11,15,9,2,5,0,364,1,2,/en/squads/53a2f082/Real-Madrid-Stats
16,1,385,335,45,10,1,4,31,21,8,4,1,0,283,5,9,/en/squads/111cbfb1/Slavia-Prague-Stats
16,1,601,559,42,11,0,2,18,16,8,7,0,0,508,0,11,/en/squads/13dc44fd/Sporting-CP-Stats
16,1,529,484,44,14,2,7,14,20,3,3,0,0,436,1,6,/en/squads/361ca564/Tottenham-Hotspur-Stats
14,1,358,311,39,7,1,1,13,17,7,5,1,0,251,8,9,/en/squads/e14f61a5/Union-SG-Stats
16,1,380,332,47,14,1,0,10,14,3,3,0,0,295,1,13,/en/squads/2a8183b3/Villarreal-Stats
